MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
1938,Ignores zeros when giving the value of an integer,Understanding the value of digits in an integer. CorrectAnswer: A. ,Number Sense and Place Value,35,305,What is the value of the integer 305?,Ignores zeros when giving the value of an integer
1941,"Confuses the order of operations, believes subtraction comes before multiplication ",Order of Operations (PEMDAS/BODMAS),Arithmetic,18,2,What is the result of the expression \( 8 - 2 \times 3 \)?,"Confuses the order of operations, believes subtraction comes before multiplication."
1943,Includes the intersection of a Venn diagram when asked to find the value of a set only,Venn Diagrams and Set Operations,Set Theory,18,11,"In a class of 30 students, 18 students like chocolate ice cream, 15 students like vanilla ice cream, and 7 students like both chocolate and vanilla ice cream. How many students like only chocolate ice cream?",Including the intersection of the Venn diagram when asked to find the value of a set only.
1947,Writes more than three repeated symbols next to each other in Roman numerals,Roman Numerals CorrectAnswer: A. ,Number Systems,MMMM,M,What is the Roman numeral for the number 1000?,Writes more than three repeated symbols next to each other in Roman numerals
1949,"Believes reflection in y=-x switches the signs of the coordinates, but not their numbers",Reflection over the line \( y = -x \). CorrectAnswer: A.,Geometry,"(3, 4)","(-3, -4)","What are the coordinates of the point (4, -3) after it is reflected over the line \( y = -x \)?","Believes reflection in \( y = -x \) switches the signs of the coordinates, but not their numbers."
1951, Does not believe that a negative multiple of a vector is in the opposite direction,Vector Direction and Multiplication,Linear Algebra,The direction of \(-2\mathbf{v}\) is the same as the direction of \(\mathbf{v}\).,The direction of \(-2\mathbf{v}\) is opposite to the direction of \(\mathbf{v}\).,"If vector \(\mathbf{v} = (3, 4)\), what is the direction of vector \(-2\mathbf{v}\)?",Does not believe that a negative multiple of a vector is in the opposite direction.
1952,Confuses class width and frequency when calculating frequency density,Frequency Density Calculation,Statistics,50,2,"In a frequency distribution table, if the class width is 5 and the frequency of a class is 10, what is the frequency density for that class?",Confuses class width and frequency when calculating frequency density
1955,Thinks that a percentage can be converted to a fraction using a denominator of 10 ,Converting percentages to fractions. CorrectAnswer: A. ,Fractions and Percentages,45/10,9/20,Convert 45% to a fraction.,Thinks that a percentage can be converted to a fraction using a denominator of 10.
1961,Fails to identify mirror line,Symmetry and Reflection,Geometry,The mirror line is the horizontal line passing through the midpoint of the shorter sides.,The mirror line is the vertical line passing through the midpoint of the longer sides.,Identify the mirror line of the given shape. The shape is a rectangle with its longer side parallel to the x-axis.,Fails to identify mirror line
1962,Doesn't take into account cost when calculating expected return/profit,Expected Value Calculation,Probability and Expected Value,Option B,Option A,"A company is considering two investment options. Option A has a 60% chance of earning $100,000 and a 40% chance of earning $50,000. Option B has a 70% chance of earning $80,000 and a 30% chance of earning $30,000. Which option has a higher expected return?",Doesn't take into account cost when calculating expected return/profit
1964,Estimates obtuse angles as 90 degrees or less,Understanding of obtuse angles. CorrectAnswer: A. ,Geometry,90 degrees,110 degrees,What is the measure of an angle that is obtuse but less than 120 degrees?,Estimates obtuse angles as 90 degrees or less
1967,Counts a side length more than once when counting perimeter due to not marking a starting point,Perimeter of a rectangle. CorrectAnswer: A.,Geometry,34 units,26 units,What is the perimeter of a rectangle with a length of 8 units and a width of 5 units?,Counts a side length more than once when counting perimeter due to not marking a starting point
1969,Mixes up square numbers and even numbers,Identifying square numbers. CorrectAnswer: A.,Number Theory,18,16,Which of the following numbers is a square number?,Mixes up square numbers and even numbers
1974,Believes the gradient of a line is the root of its equation,Gradient of a line. CorrectAnswer: A.,Algebra,2,3,What is the gradient of the line represented by the equation \( y = 3x + 2 \)?,Believes the gradient of a line is the root of its equation
1975,Does not understand the question,** Solving linear equations,** Algebra,** \( x = 7 \),** \( x = 4 \),** What is the value of \( x \) in the equation \( 2x + 3 = 11 \)?,"** The student subtracts 3 from 11 and then divides by 2, but forgets to divide the result by 2."
1977,Confuses section and whole when using a bar model,Understanding fractions using bar models. CorrectAnswer: A.,Fractions,3/4,1/4,"A bar model is used to represent a whole amount of 120 units. If one section of the bar model represents 30 units, what fraction of the whole does this section represent?",Confuses section and whole when using a bar model
1979,"Believes that they can reverse a percentage increase by decreasing the new value by the same percentage, and vice versa",Percentage Increase and Decrease. CorrectAnswer: A.,Percentages and Proportions.,The final price is the same as the original price.,The final price is 96% of the original price.,"If a store increases the price of a product by 20%, and then decreases the new price by 20%, what is the final price of the product compared to its original price?","Believes that they can reverse a percentage increase by decreasing the new value by the same percentage, and vice versa."
1983,"When dividing involving a multiple of 10, gives an answer 10 times smaller than it should be ",Division involving multiples of 10. CorrectAnswer: A. ,Arithmetic,1.2,12,What is the result of \( 120 \div 10 \)?,"When dividing involving a multiple of 10, gives an answer 10 times smaller than it should be."
1991,Assumes any variable in a sum on the numerator can be divided by the denominator,Simplifying algebraic expressions. CorrectAnswer: A. ,Algebra,\(x + 6\),\(x + 2\),Simplify the expression \(\frac{3x + 6}{3}\).,Assumes any variable in a sum on the numerator can be divided by the denominator.
1998,"When finding which term represents the median, thinks you divide the total number of terms by 2",Median in an ordered list. CorrectAnswer: A.,Statistics,7.5th term,8th term,"In a list of 15 numbers arranged in ascending order, which term represents the median?","When finding which term represents the median, thinks you divide the total number of terms by 2."
2000,Believes multiplying by 0.1 is the same as multiplying by 10,Multiplication by decimal numbers. CorrectAnswer: A. ,Arithmetic,The result is 10 times the original number.,The result is 1/10 of the original number.,"If you multiply a number by 0.1, what is the result compared to the original number?",Believes multiplying by 0.1 is the same as multiplying by 10.
2001,"When solving an equation,  subtracts instead of multiplying",Solving equations with multiplication and addition. CorrectAnswer: A.,Algebra,9,5,"If \( x \) and \( y \) are positive integers and \( x \cdot y = 12 \), what is the value of \( x + y \) when \( x = 3 \)?","When solving an equation, subtracts instead of multiplying."
2004,Confuses frequency polygons with cumulative frequency diagrams,Graphical Representation of Data,Statistics,"A frequency polygon shows the cumulative frequency up to each class interval with a step-like line, while a cumulative frequency diagram shows the frequency of each class interval with a line connecting the midpoints of the bars.","A frequency polygon shows the frequency of each class interval with a line connecting the midpoints of the bars, while a cumulative frequency diagram shows the cumulative frequency up to each class interval with a step-like line.",What is the difference between a frequency polygon and a cumulative frequency diagram?,Confuses frequency polygons with cumulative frequency diagrams
2005,Multiplies all given dimensions when calculating the length of the hypotenuse in a right angled triangle,Pythagorean Theorem,Geometry,12 units,5 units,What is the length of the hypotenuse in a right-angled triangle with legs measuring 3 units and 4 units?,Multiplies all given dimensions when calculating the length of the hypotenuse in a right-angled triangle
2008,"When substiting into an algebraic term, raises the coefficient to the power of the variable rather than multiplying the coefficient and the variable..",Substitution in algebraic expressions. CorrectAnswer: A.,Algebra,144,36,"If \( x = 3 \), what is the value of \( 4x^2 \)?","When substituting into an algebraic term, raises the coefficient to the power of the variable rather than multiplying the coefficient and the variable."
2010,Does not understand power notation,Properties of Exponents,Algebra,32,128,What is the value of \( 2^3 \times 2^4 \)?,Does not understand power notation
2013,"When drawing a histogram, thinks you plot cumulative frequency on the horizontal axis",Histogram construction and interpretation. CorrectAnswer: A. ,Statistics,Horizontal axis (x-axis),Vertical axis (y-axis),"When creating a histogram to represent the distribution of test scores in a class, which axis should you plot the cumulative frequency on?","When drawing a histogram, thinks you plot cumulative frequency on the horizontal axis"
2014,Believes if a point is reflected in the line x=a then the x coordinate of the point will become 'a',Reflection over a vertical line,Geometry,"(4, 5)","(5, 5)","If the point (3, 5) is reflected over the line \( x = 4 \), what are the coordinates of the reflected point?",Believes if a point is reflected in the line \( x = a \) then the x-coordinate of the point will become 'a'.
2015,Forgot to square both parts of the fraction,Simplifying expressions with exponents. CorrectAnswer: A. ,Algebra,\(\frac{2x^2}{3y^2}\),\(\frac{4x^2}{9y^2}\),Simplify the expression \(\left(\frac{2x}{3y}\right)^2\).,Forgot to square both parts of the fraction.
2018,Thinks a divide and a negative sign next to each other makes a minus,Order of Operations and Sign Rules,Arithmetic Operations,-1,1,Simplify the expression \(-\frac{12}{3} \div -4\).,Thinks a divide and a negative sign next to each other makes a minus.
2019,"When there's a negative sign in the question, thinks the answer must be negative",Multiplication of signed numbers. CorrectAnswer: A. ,Arithmetic,-12,12,What is the value of \(-3 \times (-4)\)?,"When there's a negative sign in the question, thinks the answer must be negative."
2028,"When writing a number between zero and one in standard form, thinks the power is the negative of the number of decimal places",Writing numbers in standard form.,Standard Form and Scientific Notation,\(4 \times 10^{-2}\),\(4 \times 10^{-3}\),Write the number 0.004 in standard form.,"When writing a number between zero and one in standard form, thinks the power is the negative of the number of decimal places."
2029,Believes non-unit multiples of vectors can be the same length,Vector Length and Scalar Multiplication,Linear Algebra,\(\frac{1}{2}\mathbf{u}\),\(2\mathbf{u}\),"If vector \(\mathbf{u}\) has a length of 5, which of the following vectors has the same length as \(\mathbf{u}\)?",Believes non-unit multiples of vectors can be the same length.
2033,Rounds to the wrong degree of accuracy (1 decimal place rather than nearest whole number),Rounding to the Nearest Whole Number. CorrectAnswer: A. ,Rounding Numbers,47.6,48,Round the number 47.6 to the nearest whole number.,Rounds to the wrong degree of accuracy (1 decimal place rather than nearest whole number)
2036,Identified the interior not exterior angle at a point,Interior angles of a regular polygon. CorrectAnswer: A.,Geometry,60 degrees,120 degrees,"In a regular hexagon, what is the measure of the interior angle at each vertex?",Identified the interior not exterior angle at a point
2040,Has estimated the length of the missing side length by looking at the image  rather than calculating it,Pythagorean Theorem,Geometry,9 units,10 units,"In the right triangle shown below, the lengths of the two legs are 6 units and 8 units. Estimate the length of the hypotenuse by looking at the image rather than calculating it.",Has estimated the length of the missing side length by looking at the image rather than calculating it.
2041,Fails to reflect across reflection line without a diagram,Reflection over the x-axis. CorrectAnswer: A.,Geometry,"(-3, 4)","(3, -4)","If a point (3, 4) is reflected over the x-axis, what are the coordinates of the reflected point?",Fails to reflect across reflection line without a diagram
2052,Believes all numbers written in standard form must be smaller than any numbers written in ordinary form,Understanding of standard form and ordinary form of numbers. CorrectAnswer: A.,Number Comparison,1.2 × 10^5,"120,000",Which of the following numbers is the largest?,Believes all numbers written in standard form must be smaller than any numbers written in ordinary form.
2057,Thinks that the scale on axes has to match with the number of squares,Slope of a line. CorrectAnswer: A.,Algebra,3,1.5,"If the graph of a function is plotted on a coordinate plane where the x-axis has a scale of 1 unit per square and the y-axis has a scale of 2 units per square, what is the slope of the line passing through the points (2, 4) and (6, 10)?",Thinks that the scale on axes has to match with the number of squares.
2058,Assumes there are only 2 terms in the nth term formula for a quadratic sequence,Quadratic sequences and nth term formula.,Algebra,26,56,What is the 5th term of the quadratic sequence defined by the formula \( a_n = 2n^2 + 3n + 1 \)?,Assumes there are only 2 terms in the nth term formula for a quadratic sequence.
2059,Ignores unlabelled angles when applying angle sum rules,Angle sum property of a triangle. CorrectAnswer: A.,Geometry.,110 degrees.,70 degrees.,"In the triangle ABC, if angle A is 50 degrees and angle B is 60 degrees, what is the measure of angle C?",Ignores unlabelled angles when applying angle sum rules.
2060,"When solving simultaneous equations graphically, they think the solutions are the x or y intercepts",Solving simultaneous equations graphically. CorrectAnswer: A. ,Algebra,"The solutions are the x-intercepts of the lines, which are \( (0, 3) \) and \( (6, 0) \).","The solutions are the points where the two lines intersect, which are \( (1, 5) \).",What are the solutions to the simultaneous equations \( y = 2x + 3 \) and \( y = -x + 6 \)?,"When solving simultaneous equations graphically, they think the solutions are the x or y intercepts."
2061,"Believes that when converting ratio to fractions, the denominator is the difference between the parts of the ratio",Converting Ratios to Fractions,Ratio and Proportion,\(\frac{3}{1}\),\(\frac{3}{5}\),"If the ratio of boys to girls in a class is 3:2, what fraction of the class is made up of boys?","Believes that when converting ratio to fractions, the denominator is the difference between the parts of the ratio."
2062,Believes you multiply all of the values given when using the capture-recapture sampling method,Capture-Recapture Method,Statistics and Probability,2000,200,"In a wildlife study, researchers use the capture-recapture method to estimate the population of a species. They initially capture and tag 50 animals, then release them. In a second capture, they catch 40 animals, 10 of which were already tagged. What is the estimated total population of the species?",Believes you multiply all of the values given when using the capture-recapture sampling method.
2063,"When calculating volume expressed in cubes, counts the faces of all the cubes",Volume of a rectangular prism,Geometry,48 square units,8 cubic units,"If a rectangular prism is made up of 8 small cubes, each with a side length of 1 unit, what is the volume of the rectangular prism?","When calculating volume expressed in cubes, counts the faces of all the cubes"
2064,"Finds the range of possible values of the variable, rather than the range of recorded values",Understanding the range of a variable defined by an inequality.,Algebra,The range of possible values of \( x \) is from \(-2\) to \(4\).,The range of possible values of \( x \) is from \(-3\) to \(5\).,"If the variable \( x \) is defined by the inequality \( -3 \leq x \leq 5 \), what is the range of possible values of \( x \)?","Finds the range of possible values of the variable, rather than the range of recorded values."
2065,Believes when calculating a probability the denominator will be the total of one of the criteria rather than the overall total that is required (gives a given that answer),Calculating probabilities involving multiple criteria.,Probability,17/52,16/52,"In a deck of 52 playing cards, what is the probability of drawing a heart or a queen?","Believes when calculating a probability the denominator will be the total of one of the criteria rather than the overall total that is required (e.g., using 13 for hearts or 4 for queens)."
2067,Thinks there are 10000ml in a litre,Conversion between liters and milliliters. CorrectAnswer: A. ,Measurement and Conversion,50000 ml,5000 ml,How many milliliters are in 5 liters?,Thinks there are 10000 ml in a litre
2070,"Believes that when factorising a quadratic equation with a coefficient of x squared, the two constants in the brackets are still the solutions of the equation with opposite signs",Factorization of Quadratic Equations,Algebra,\( (2x - 1)(x - 3) \),\( (2x + 1)(x + 3) \),Factorize the quadratic equation \( 2x^2 + 7x + 3 \).,"Believes that when factorising a quadratic equation with a coefficient of \( x^2 \), the two constants in the brackets are still the solutions of the equation with opposite signs."
2074,"When describing the relationship between the parts in a ratio, replaces the : with a decimal point to say how many times bigger a part is than the other",Understanding Ratios,Ratios and Proportions,3.2,1.5,"If the ratio of the number of apples to oranges in a basket is 3:2, how many times more apples are there compared to oranges?","When describing the relationship between the parts in a ratio, replaces the : with a decimal point to say how many times bigger a part is than the other."
2075,Misunderstands mixed number notation ,Conversion of mixed numbers to improper fractions. CorrectAnswer: A.,Arithmetic,\( \frac{32}{5} \),\( \frac{17}{5} \),What is the value of the mixed number \( 3 \frac{2}{5} \) when converted to an improper fraction?,"Misunderstands mixed number notation, thinking the whole number part should be multiplied by the denominator and then added to the numerator."
2076,Believes an algebraic term with the same coefficient as the value of a constant term can be subtracted to give zero,Simplifying algebraic expressions,Algebra,0,5,Simplify the expression \( 3x + 5 - 3x \).,Believes an algebraic term with the same coefficient as the value of a constant term can be subtracted to give zero.
2079,Believes that points on an axis have equal x and y coordinates,Coordinates of points on the x-axis. CorrectAnswer: A. ,Coordinate Geometry,"(5, 5)","(5, 0)",What are the coordinates of a point that lies on the x-axis?,Believes that points on an axis have equal x and y coordinates
2086,"When calculating volume expressed in cubes, counts only the squares on one face",Volume of a cube. CorrectAnswer: A.,Geometry,16 cubic units,64 cubic units,"If a cube has a side length of 4 units, what is the volume of the cube?","When calculating volume expressed in cubes, counts only the squares on one face"
2088,"When multiplying variables, thinks they add coefficients as well as powers",Multiplication of monomials. CorrectAnswer: A.,Algebra.,\(7x^5\).,\(12x^5\).,Simplify the expression \(3x^2 \cdot 4x^3\).,"When multiplying variables, thinks they add coefficients as well as powers."
2089,"When asked to find a scale factor, assumes direction of enlargement does not matter",Scale Factor and Enlargement,Geometry,"Length = 12 units, Width = 2 units.","Length = 12 units, Width = 6 units.","If a rectangle is enlarged by a scale factor of 3, and the original length is 4 units and the original width is 2 units, what are the dimensions of the enlarged rectangle?","When asked to find a scale factor, assumes direction of enlargement does not matter."
2096,When adding negatives believes that they can just add their absolute values and add a negative sign to the answer,Addition of negative numbers. CorrectAnswer: A. ,Arithmetic,12,-12,What is the result of adding -7 and -5?,"When adding negatives, believes that they can just add their absolute values and add a negative sign to the answer."
2097,Confuses prime factors and factors,Prime Factors vs. Factors,Number Theory,"1, 2, 3, 6, 7, 14, 21, 42","2, 3, 7",What are the prime factors of 42?,Confuses prime factors and factors
2099,Believes negative powers in standard form have the same impact as positive powers ,Understanding the impact of negative exponents in standard form. CorrectAnswer: A.,Exponents and Standard Form,5000,0.005,What is the value of \( 5 \times 10^{-3} \) in standard form?,Believes negative powers in standard form have the same impact as positive powers.
2106,"When asked to find an angle given in three letter convention, thinks the angle you want to find will be located at the vertex labelled with the last letter",Angle Sum Property of a Triangle,Geometry,\( 80^\circ \),\( 100^\circ \),"In the diagram below, what is the measure of angle \( \angle ABC \) if \( \angle BAC = 30^\circ \) and \( \angle ACB = 50^\circ \)?","When asked to find an angle given in three-letter convention, thinks the angle you want to find will be located at the vertex labeled with the last letter."
2108,"Believes if a circle is divided into n equal sectors, the angles at the centre will each be n degrees",Central angles in a circle,Geometry,8 degrees,45 degrees,"If a circle is divided into 8 equal sectors, what is the measure of each central angle?","Believes if a circle is divided into n equal sectors, the angles at the centre will each be n degrees"
2115,Believes any of the angles can be used in the trigonometric formula for area of a triangle,Area of a Triangle Using Sides (Heron's Formula),Geometry,18.5 square units,16.25 square units,"What is the area of a triangle with sides of length 5, 7, and 8 units?",Believes any of the angles can be used in the trigonometric formula for area of a triangle
2116,Does not round up when an answer is non-sensical in a real-life context,Division and rounding in practical scenarios. CorrectAnswer: A.,Arithmetic,6 boxes,7 boxes,"If a baker has 25 cupcakes and wants to pack them into boxes that can hold 4 cupcakes each, how many boxes will the baker need?",Does not round up when an answer is non-sensical in a real-life context
2118,Struggles to visualise elevations of 3D shapes,Cross-sections of 3D shapes,Geometry,Rectangle,Circle,What is the cross-section of a cylinder when it is cut parallel to its base?,Struggles to visualise elevations of 3D shapes
2120,Believes they do not have to say the point when reading a decimal aloud,Reading Decimals Aloud. CorrectAnswer: A. ,Decimal Numbers.,Three point one four.,Three and fourteen hundredths.,How do you read the decimal number 3.14 aloud?,Believes they do not have to say the point when reading a decimal aloud.
2129,Increases by the given percentage rather than finding the percentage of an amount,Percentage increase calculation. CorrectAnswer: A.,Percentages,$70,$60,"If a shirt originally costs $50 and its price is increased by 20%, what is the new price of the shirt?",Increases by the given percentage rather than finding the percentage of an amount
2136,"When finding the square root of a decimal, ignores place value",Square roots of decimals. CorrectAnswer: A. ,Arithmetic,2,0.2,What is the square root of 0.04?,"When finding the square root of a decimal, ignores place value"
2141,Believes that 'zero' is read as the letter 'O',Order of Operations,Arithmetic,0,3,What is the value of the expression \( 5 \times 0 + 3 \)?,Believes that 'zero' is read as the letter 'O'
2144,Believes a number written in standard form cannot have a lot of decimal places,Understanding the number of decimal places in scientific notation.,Scientific Notation,\( 3.14159 \times 10^2 \),\( 2.71828 \times 10^{-3} \),Which of the following numbers written in standard form has the most decimal places?,Believes a number written in standard form cannot have a lot of decimal places.
2146,Believes the line y = mx - c will cross the y axis at c,Understanding the y-intercept of a linear equation. CorrectAnswer: A. ,Algebra,4,-4,What is the y-intercept of the line given by the equation \( y = 3x - 4 \)?,Believes the line \( y = mx - c \) will cross the y-axis at \( c \).
2151,Thinks you cannot find the range if there are an even number of values,Range Calculation,Statistics,Cannot be determined because there are an even number of values.,10,"What is the range of the following set of numbers: 4, 6, 8, 10, 12, 14?",Thinks you cannot find the range if there are an even number of values
2153,Thinks the category with the most common bar height is the mode,Mode of a data set. CorrectAnswer: A.,Statistics,7,9,"In a bar graph showing the number of books read by students in a month, the bar heights are as follows: 3, 5, 5, 7, 7, 7, 9, 9, 9, 9. What is the mode of the number of books read?",Thinks the category with the most common bar height is the mode
2158,Multiplies rather than divides when answering worded problems,Rate and Ratio,Arithmetic,360 miles per hour,40 miles per hour,"If a car travels 120 miles in 3 hours, what is the average speed of the car in miles per hour?",Multiplies rather than divides when answering worded problems
2164,Believes a number written in standard form is smaller than another number written in standard form if the number between 1 and 10 is smaller,Understanding the significance of the exponent in scientific notation. CorrectAnswer: A.,Comparing Numbers in Scientific Notation,\( 7.2 \times 10^5 \),\( 3.5 \times 10^6 \),Which of the following numbers is larger: \( 3.5 \times 10^6 \) or \( 7.2 \times 10^5 \)?,Believes a number written in standard form is smaller if the number between 1 and 10 is smaller.
2165,Thinks that we cannot calculate the range of negative numbers,Calculating the range of a set of numbers. CorrectAnswer: A.,Statistics,-4,4,"What is the range of the set of numbers {-5, -3, -1, -7, -2}?",Thinks that we cannot calculate the range of negative numbers
2167,"When a subtraction of one positive number from another, results in a negative answer, they believe the answer is the sum of those 2 numbers with a negative sign put in front.",Subtraction of Positive Numbers,Arithmetic,-10,-4,"If you subtract 7 from 3, what is the result?","When a subtraction of one positive number from another results in a negative answer, they believe the answer is the sum of those 2 numbers with a negative sign put in front."
2168,Assumes a 1:1 conversion ratio between different currencies,Currency Exchange Rate,Currency Conversion,100 EUR,85 EUR,"If 1 USD is equivalent to 0.85 EUR, how many EUR will you get for 100 USD?",Assumes a 1:1 conversion ratio between different currencies
2169,Believes that prime numbers can have more than two factors,Definition of Prime Numbers. CorrectAnswer: A.,Number Theory,21,17,Which of the following numbers is a prime number?,Believes that prime numbers can have more than two factors.
2170,Subtracts numerators when dividing fractions with a common denominator,Division of Fractions with Common Denominators. CorrectAnswer: A.,Arithmetic with Fractions,\(\frac{1}{2}\),\(\frac{3}{2}\),"If you divide the fraction \(\frac{3}{4}\) by the fraction \(\frac{2}{4}\), what is the result?",Subtracts numerators when dividing fractions with a common denominator
2171,Uses the total as the numerator of the fraction rather than the denominator.,Understanding the numerator and denominator in fractions. CorrectAnswer: A. ,Fractions,20/12,12/20,"If there are 12 red marbles and 8 blue marbles in a bag, what fraction of the marbles are red?",Uses the total as the numerator of the fraction rather than the denominator.
2172,Subtracts instead of adding when asked to find a total,Addition of whole numbers. CorrectAnswer: A. ,Arithmetic,8,38,"If you have 15 apples and your friend gives you 23 more apples, how many apples do you have in total?",Subtracts instead of adding when asked to find a total
2174,Believes a parallelogram cannot have right angles,Properties of Parallelograms,Geometry,Rectangle,Parallelogram,Which of the following shapes must have opposite sides that are parallel and equal in length?,Believes a parallelogram cannot have right angles
2176,Confuses objective and subjective,Area of a square. CorrectAnswer: A.,Geometry,20 square units,25 square units,What is the area of a square with a side length of 5 units?,"Confuses objective and subjective - In this context, the misconception might be that the student thinks the area is a subjective measure and not an objective calculation."
2177,Does not know that a reflection would not change the size of the shape,Properties of Reflections. CorrectAnswer: A. ,Geometry,The size of the triangle changes.,The size of the triangle remains the same.,"If a triangle is reflected over a line, what happens to its size?",Does not know that a reflection would not change the size of the shape.
2182,Believes given two sides and one angle of a triangle there are multiple ways to draw the triangle,Triangle Congruence Theorems,Geometry,2,1,"If you are given two sides of a triangle and the included angle, how many unique triangles can be drawn?",Believes given two sides and one angle of a triangle there are multiple ways to draw the triangle.
2183,Confuses consecutive and prime numbers,Prime Numbers,Number Theory,12,10,What is the sum of the first three prime numbers?,Confuses consecutive and prime numbers
2184,Believes the equation of a straight line is y=-mx+c,Equation of a straight line. CorrectAnswer: A.,Algebra,\( y = -2x + 11 \),\( y = 2x - 1 \),"What is the equation of a straight line that passes through the points (2, 3) and (4, 7)?",Believes the equation of a straight line is \( y = -mx + c \)
2186,Thinks the missing length has to be half the length of the opposite side,Pythagorean Theorem,Geometry,3 units,8 units,"In a right triangle, if the length of one leg is 6 units, what is the length of the other leg if the hypotenuse is 10 units?",Thinks the missing length has to be half the length of the opposite side
2188,"Does not understand that enlargements can make shapes make shapes bigger, smaller and the same size",Scale Factor and Enlargement,Geometry,The size of the shape becomes larger.,The size of the shape remains the same.,"If a shape is enlarged by a scale factor of 1, what happens to the size of the shape?","Does not understand that enlargements can make shapes bigger, smaller, and the same size."
2194,Assumes the scale is the same when comparing two similar diagrams,Similarity of triangles,Geometry,8 cm,16 cm,Two similar triangles are drawn on a piece of paper. The first triangle has a base of 6 cm and a height of 8 cm. The second triangle has a base of 12 cm. What is the height of the second triangle?,Assumes the scale is the same when comparing two similar diagrams
2195,Does not know the definition of a prime number,Definition of a Prime Number. CorrectAnswer: A.,Number Theory,21,17,Which of the following numbers is a prime number?,Does not know the definition of a prime number
2196,Believes the number of bars gives the total on a bar chart,Understanding the representation of bars in a bar chart. CorrectAnswer: A. ,Statistics and Data Interpretation.,The total number of bars tells you the total number of books read by all students.,The total number of bars tells you the number of students.,"In a bar chart showing the number of books read by students in a class, there are 5 bars. If each bar represents a different student, what does the total number of bars tell you?",Believes the number of bars gives the total on a bar chart.
2200,Believes that when dividing an integer by a power of 10 you add zeroes after the decimal point,Division by powers of 10. CorrectAnswer: A. ,Arithmetic,45.00,0.45,What is the result of dividing 45 by 100?,Believes that when dividing an integer by a power of 10 you add zeroes after the decimal point.
2201,Does not know the definition of a composite number,Definition of Composite Numbers. CorrectAnswer: A.,Number Theory,13,15,Which of the following numbers is a composite number?,Does not know the definition of a composite number
2202,Thinks we have to add the base numbers as well as the powers when multiplying indices,Laws of Exponents,Algebra,\(4^{12}\),\(2^7\),Simplify the expression \(2^3 \times 2^4\).,Thinks we have to add the base numbers as well as the powers when multiplying indices.
2205,Thinks the largest number in a stem and leaf diagram comes from the first leaf next to the largest stem,Understanding stem and leaf diagrams. CorrectAnswer: A. ,Statistics,42,45,"In a stem and leaf diagram, the stems are 1, 2, 3, and 4, and the leaves for each stem are as follows: 1|2, 2|3, 3|4, 4|5. What is the largest number in this stem and leaf diagram?",Thinks the largest number in a stem and leaf diagram comes from the first leaf next to the largest stem.
2207,Believes we can categorise data as primary or secondary without knowing the source,Data Type Identification. CorrectAnswer: A.,Data Types in Programming,Integer,String,What is the primary data type used to store a sequence of characters in most programming languages?,Believes we can categorise data as primary or secondary without knowing the source
2211,Believes interquartile range is the sum of the lower and upper quartiles,Interquartile Range Calculation,Statistics,24,8,"What is the interquartile range of the following data set: 1, 3, 5, 7, 9, 11, 13, 15, 17, 19?",Believes interquartile range is the sum of the lower and upper quartiles
2213,Assumes regular shape refers only to a square,Perimeter of Regular Shapes. CorrectAnswer: A.,Geometry,4 units,6 units,"If the perimeter of a regular shape is 24 units, what is the length of one side?",Assumes regular shape refers only to a square
2216,Believes the mean from grouped data something divided by the sum of the midpoint values,Calculation of Mean from Grouped Data. CorrectAnswer: A.,Statistics,30.5,27.5,What is the mean of the following grouped data?,Believes the mean from grouped data is something divided by the sum of the midpoint values.
2219,"Believes any co-interior angles are supplementary, not just those in parallel lines",Co-interior angles and parallel lines.,Geometry,"Yes, the lines are parallel.","No, the lines are not parallel.","If two lines are cut by a transversal and the co-interior angles are 110° and 70°, are the lines parallel?","Believes any co-interior angles are supplementary, not just those in parallel lines."
2222,Out by 10 when subtracting,Subtraction of two-digit numbers from three-digit numbers. CorrectAnswer: A.,Arithmetic,66,76,"If you subtract 47 from 123, what is the result?",Out by 10 when subtracting
2223,"When dividing fractions, divides the denominators by each other",Division of Fractions,Arithmetic Operations with Fractions,\(\frac{4}{5}\),\(\frac{15}{8}\),What is the result of dividing the fraction \(\frac{3}{4}\) by the fraction \(\frac{2}{5}\)?,"When dividing fractions, divides the denominators by each other."
2224,Does not recall larger square numbers,Knowledge of square numbers. CorrectAnswer: A.,Arithmetic,121,144,What is the square of 12?,Does not recall larger square numbers
2227,Subtracts rather than adds when using Pythagoras to find the hypotenuse,Pythagorean Theorem,Geometry,7 units,13 units,"In a right triangle, the lengths of the two legs are 5 units and 12 units. What is the length of the hypotenuse?",Subtracts rather than adds when using Pythagoras to find the hypotenuse
2229,Believes the mean is something divided by total,Calculation of the Mean,Statistics,15,16.5,"What is the mean of the numbers 12, 15, 18, and 21?",Believes the mean is something divided by total
2232,Thinks that perpendicular lines do not meet at 90 degrees,Perpendicular Lines and Angles,Geometry,0 degrees,90 degrees,What is the angle formed by two perpendicular lines?,Thinks that perpendicular lines do not meet at 90 degrees
2233,Thinks the reciprocal of a fraction is what number adds to that fraction to make one whole.,Reciprocal of a fraction. CorrectAnswer: A.,Arithmetic,\(\frac{1}{4}\),\(\frac{4}{3}\),What is the reciprocal of the fraction \(\frac{3}{4}\)?,Thinks the reciprocal of a fraction is what number adds to that fraction to make one whole.
