MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerAText,AnswerBText,QuestionText,MisconceptionB
1401,Believes the sin graph relates to the cos function,Understanding phase shifts in trigonometric functions,Trigonometry,\(\frac{\pi}{2}\) to the right,\(\frac{\pi}{2}\) to the left,What is the phase shift of the function \( f(x) = \sin(x - \frac{\pi}{2}) \)?,Believes the sin graph relates to the cos function by a simple horizontal shift without understanding the direction.
1404,"Believes that when multiplying an integer by a decimal greater than 1, you multiply by the integer component of the decimal but add on the decimal component multiplied by 10.",Multiplying Decimals,Arithmetic,12.5,10.5,"If you multiply 5 by 2.5, what is the correct product?","Believes that when multiplying an integer by a decimal greater than 1, you multiply by the integer component of the decimal but add on the decimal component multiplied by 10."
1405,Cannot accurately estimate capacity,Understanding Capacity and Volume Differences,Measurement and Data,30 liters,"20 liters, 50 liters, 70 liters","A water tank has a capacity of 50 liters. If it is currently filled with 20 liters of water, how much more water can be added to fill the tank completely?",Cannot accurately estimate capacity
1409,Confuses 'and' with 'or' in probability,Understanding the addition rule for mutually exclusive and non-mutually exclusive events in probability.,Probability,16/52,20/52,"In a deck of 52 cards, what is the probability of drawing a card that is either a heart or a queen?",Confuses 'and' with 'or' in probability
1412,Believes y=f(-x) is a reflection in y=x,Understanding Reflections of Functions,Algebra/Functions/Transformations,The graph of \( g(x) \) is a reflection of the graph of \( f(x) \) across the y-axis.,The graph of \( g(x) \) is a reflection of the graph of \( f(x) \) across the line \( y = x \).,"Consider the function \( f(x) = x^2 \). If \( g(x) = f(-x) \), how is the graph of \( g(x) \) related to the graph of \( f(x) \)?",Believes \( y = f(-x) \) is a reflection in \( y = x \).
1413,Assumes the negative sign in a power has no meaning,Understanding the effect of even powers on negative bases.,Exponents,16,-16,Simplify the expression \((-2)^4\).,Assumes the negative sign in a power has no meaning.
1414,Believes instant change of velocity is possible. ,Understanding of velocity at the apex of vertical motion,Physics - Kinematics,0 m/s,20 m/s,"A ball is thrown vertically upwards with an initial velocity of 20 m/s. Ignoring air resistance, what is the velocity of the ball at its highest point?",Believes instant change of velocity is possible.
1415,Assumes every dash on a scale represents an increase of 1,Understanding Scale Intervals on Graphs,Graph Reading and Interpretation,12,13,"A student is looking at a bar graph that measures the number of books read by students in a month. The scale on the y-axis starts at 0 and goes up to 20, with dashes at every interval. If the bar for Sam reaches the dash marked '12', how many books did Sam read?",Assumes every dash on a scale represents an increase of 1
1422,Does not recognise km as a unit of length ,Understanding of Kilometers as a Unit of Length,Measurement Conversion,0.5 kilometers,500 kilometers,"If a car travels 500 meters, how many kilometers has it traveled?",Does not recognize km as a unit of length
1423,Struggles to estimate 3D volume,Understanding volume calculation for 3D shapes. ,Geometry.,100 cubic centimeters is incorrect; the correct volume is 100 * 2 = 200 cubic centimeters.,100 cubic centimeters.,A rectangular prism has dimensions of 10 cm by 5 cm by 2 cm. A student estimates that its volume is around 100 cubic centimeters. What is the actual volume of the prism?,Struggles to estimate 3D volume.
1431,"Believes you add the whole to the numerators, ignoring denominators, when adding a mixed number to a proper fraction with the same denominator.",Adding Mixed Numbers and Proper Fractions,Fractions,\(3\frac{3}{4}\),\(5\frac{3}{4}\),What is the sum of \(3\frac{1}{4}\) and \(\frac{2}{4}\)?,"Believes you add the whole to the numerators, ignoring denominators, when adding a mixed number to a proper fraction with the same denominator."
1434,Believes any adjacent angles sum to 180 degrees,Understanding the relationship between angles formed by a transversal and parallel lines,Geometry,130 degrees,180 degrees,"In the figure below, lines \( AB \) and \( CD \) are intersected by a transversal at points \( E \) and \( F \) respectively. If \( \angle AEF = 50^\circ \), what is the measure of \( \angle CFB \)?",Believes any adjacent angles sum to 180 degrees
1439,"When solving simultaneous equations, assumes every variable has equal value.",Solving systems of linear equations,Algebra,"Correctly solving the system of equations, we find that x = 2 and y = 3.","Assuming x = y, the student might incorrectly calculate x = y = 1.6.","Two equations are given: 3x + 2y = 12 and 4x - y = 7. If a student assumes that x and y have equal values when solving these simultaneous equations, what would they incorrectly conclude as the value for both x and y?","When solving simultaneous equations, assumes every variable has equal value."
1441,"Thinks decimal place value works the same as integer place value, ones will follow tenths",Understanding Decimal Place Value,Decimals,5,4,"If you have the number 24.56, what digit is in the tenths place?","Thinks decimal place value works the same as integer place value, ones will follow tenths"
1442,Think cross section of a prism is the biggest face,Understanding Cross Sections of Three-Dimensional Figures,Geometry,15 square cm (the area of one of the faces that is 5 cm by 3 cm),"50 square cm (the area of the face that is considered the ""biggest"" or the one with dimensions 10 cm by 5 cm, which follows from the misconception that the cross section is the biggest face)","What is the cross-sectional area of a rectangular prism with length 10 cm, width 5 cm, and height 3 cm?",Think cross section of a prism is the biggest face
1446,"When calculating perimeter, only adds two sides",Perimeter of Rectangles,Geometry,40 units,20 units,What is the perimeter of a rectangle if its length is 12 units and width is 8 units?,"When calculating perimeter, only adds two sides"
1448,Believes the solutions of a quadratic equation are the negative of the absolute values of the constants in the factorised form,Solving Quadratic Equations by Factoring,Algebra,"\( x = 2, x = 3 \)","\( x = -6, x = -1 \)","Consider the quadratic equation \( x^2 - 5x + 6 = 0 \). According to the factorised form of this equation, what are the solutions based on the misconception that they are the negative of the absolute values of the constants in the factors?",Believes the solutions of a quadratic equation are the negative of the absolute values of the constants in the factorised form.
1449,Believes rounding numbers down would give an overestimate,Understanding of Rounding Concepts,Arithmetic,An underestimate,An overestimate,"If you round the number 27.85 down to the nearest whole number, will you get an overestimate or an underestimate of the actual value?",Believes rounding numbers down would give an overestimate
1451,Assumes that the square root is the only type of root,Understanding of cube roots,Algebra,3,9,"If \( x^3 = 27 \), what is the value of \( x \)?",Assumes that the square root is the only type of root.
1454,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations,Solving Systems of Linear Equations by Elimination,Algebra,Cannot be determined from the given equations without modifying them.,\( x = 2 \),Solve the system of equations by eliminating \( y \): ,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations.
1456,Believes linear graphs can be curved,Understanding of Linear Equations,Algebra,y = 2x + 3,y = x^2 + 3x + 1,Which of the following equations represents a line that could potentially curve?,Believes linear graphs can be curved
1462,Believes height represents frequency on a histogram,Understanding the representation of data in histograms.,Statistics,The tallest bar indicates that there are 12 students with heights within the range represented by that bar.,The tallest bar reaching 12 units means there are 12 students with exactly the same height.,"A histogram displays the distribution of heights of 50 students in a class. If the tallest bar reaches up to 12 units high, which statement best reflects what this height represents?",Believes height represents frequency on a histogram.
1463,"When adding fractions, adds the numerators and multiplies the denominators",Adding Fractions with Unlike Denominators,Arithmetic,5/6,2/6,What is the result of adding the fractions 1/3 and 1/2?,"When adding fractions, adds the numerators and multiplies the denominators"
1464,"When solving simultaneous equations graphically, they think the solutions are the y-intercepts",Solving systems of linear equations graphically.,Algebra,The point where the two lines intersect.,The y-intercept of each line.,"Two linear equations, \(y = 2x + 3\) and \(y = -x + 6\), are plotted on the same graph. What is the solution to this system of equations?","When solving simultaneous equations graphically, they think the solutions are the y-intercepts."
1465,Uses outcome as numerator in probability ,Understanding of calculating probability using outcomes and sample space,Probability,25/216,36/216,A fair six-sided die is rolled three times. What is the probability that the number 4 appears exactly twice?,Uses outcome as numerator in probability
1466,Thinks there are 100kg in a ton,Understanding units of weight and their conversion factors,Measurement Conversion,2000,200,How many kilograms are there in 2 tons?,Thinks there are 100kg in a ton
1472,"Believes that they can reverse a percentage decrease by dividing by the decimal multiplier of the percentage itself, not the multiplier for the percentage decrease.",Reversing Percentage Changes Correctly,Percentages and Discounts,$150,$200,"If a store reduces the price of a $200 jacket by 25%, how much would a customer pay if they mistakenly believed they could reverse this discount by multiplying the sale price by 1.25?","Believes that they can reverse a percentage decrease by dividing by the decimal multiplier of the percentage itself, not the multiplier for the percentage decrease."
1474,Forgets to add on the starting value when identifying a position on a number line,Understanding Movement on a Number Line Including Negative Numbers,Number Line and Coordinate Geometry,4,7,"On a number line where each tick represents 1 unit, if you move 7 units from the starting point at -3, where will you land?",Forgets to add on the starting value when identifying a position on a number line
1475,Believes y=f(-x) is reflection in the x-axis,Reflections of Graphs.,Functions and Graphs.,The graph is reflected over the y-axis.,The graph is reflected over the x-axis.,"What is the graph of \(y = f(-x)\) if the original function \(f(x)\) is graphed as a curve that passes through the point (2,3)?",Believes \(y = f(-x)\) is reflection in the x-axis.
1476,Thinks 1 square metre = 1000 square centimetres,Converting between square meters and square centimeters,Geometry,200000 square centimeters,20000 square centimeters,"If a classroom floor measures 5 meters by 4 meters, what is the area of the floor in square centimeters?",Thinks 1 square metre = 1000 square centimetres
1477,"When using a scale factor greater than 1, thinks you multiply by the scale factor to go from the larger to the smaller shape.",Understanding the effect of scale factors on areas of similar shapes.,Geometry.,150 square meters.,600 square meters.,"A rectangular garden measures 20 meters by 30 meters. If a similar but smaller garden is created using a scale factor of 1/2, what is the area of the smaller garden?","When using a scale factor greater than 1, thinks you multiply by the scale factor to go from the larger to the smaller shape."
1478,"When expressing one quantity (x) as a fraction of another (y), believes the answer is 1/x.",Comparing quantities using fractions,Fractions,3/4,1/15,"If there are 15 apples and 5 oranges in a basket, what is the fraction of the apples compared to the total number of fruits in the basket?","When expressing one quantity (x) as a fraction of another (y), believes the answer is 1/x."
1482,Believes you only need to multiply the integer by the integer in a integer x decimal calculation,Multiplication of integers and decimals,Arithmetic,10,8,What is the result of 4 × 2.5?,Believes you only need to multiply the integer by the integer in an integer x decimal calculation
1484,Thinks 1l = 10 000 cubic centimetres,Understanding the conversion factor between liters and cubic centimeters,Volume Conversion,50,5,"How many liters are there in 50,000 cubic centimeters of water?","Thinks 1 liter = 10,000 cubic centimeters"
1485,"When given an error interval for a decimal that ends in a zero, thinks you give the error interval as if the zero was not present (e.g. 1dp rather than 2dp)",Significant Figures and Decimal Precision,Measurement and Uncertainty,3 significant digits for the measurement and 2 decimal places for the uncertainty.,2 significant digits for the measurement and 1 decimal place for the uncertainty.,"The length of a table is measured as 2.50 meters with an error interval of ±0.01 meters. How many significant digits does the measurement have, including the uncertainty?","When given an error interval for a decimal that ends in a zero, thinks you give the error interval as if the zero was not present (e.g. 1dp rather than 2dp)."
1486,"When using the capture-recapture method for sampling, believes you subtract the number marked second from the number caught second to find the best estimate of population size",Capture-Recapture Method for Population Estimation,Statistics,600,150,"In a local lake, a biologist wants to estimate the fish population using the capture-recapture method. Initially, 150 fish were caught, marked, and released back into the lake. Later, 200 fish were caught again, out of which 50 were found to be marked. To estimate the total fish population in the lake, a student suggests subtracting the number of marked fish caught second (50) from the number caught second (200). What is the correct estimate of the total fish population in the lake?","When using the capture-recapture method for sampling, believes you subtract the number marked second from the number caught second to find the best estimate of population size"
1489,"Believes an outlier is the smallest value in a data set, even if this value is close to the mean",Identifying outliers in a data set,Statistics,60,85,"A set of test scores for a class is {85, 90, 92, 88, 75, 100, 94, 87, 60}. Which score is considered an outlier based on the misconception that an outlier is the smallest value in a data set, even if this value is close to the mean?","Believes an outlier is the smallest value in a data set, even if this value is close to the mean"
1493,Thinks the positive and negative terms in a sequence will have the same absolute values,Summing alternating sequences with different absolute values for positive and negative terms.,Sequences and Series,3,0,"What is the sum of the first five terms of the sequence defined by \(a_n = (-1)^{n+1} \cdot n\), starting with \(n=1\)?",Thinks the positive and negative terms in a sequence will have the same absolute values.
1495,Thinks the fraction 1/n can express sharing any number of items between n people,Understanding fractions as equal parts of a whole,Fractions,3/4,1/4,"If four friends share 3 chocolate bars equally, how many chocolate bars does each friend get?",Thinks the fraction 1/n can express sharing any number of items between n people
1496,Ignores grouping within a fraction and carries out the division first,Understanding of Operations Within Fractions,Fractions and Division,1,\(\frac{1}{3}\),Simplify the expression \(\frac{3+6}{9}\).,Ignores grouping within a fraction and carries out the division first
1497,Thinks the plan view is taken from an angle to include aspects of the side view,Interpretation of 2D representations of 3D shapes,Geometry,Cylinder,Cube,"A student is viewing two-dimensional representations of three-dimensional shapes and trying to determine which shape has been represented. They come across a drawing that appears elongated vertically. Which three-dimensional shape does this plan view most likely represent, assuming the student's misconception that the plan view includes aspects of the side view?",Thinks the plan view is taken from an angle to include aspects of the side view
1498,"Does not understand that a scale factor of enlargement greater than -1, will create a larger image on the other side of the centre of enlargement from the original",Scale Factor Enlargement Understanding,Geometry,8 units,4 units,A square with sides of length 4 units is enlarged by a scale factor of -2 using a point outside the square as the center of enlargement. What is the distance between the center of enlargement and a vertex of the resulting image?,"Does not understand that a scale factor of enlargement greater than -1, will create a larger image on the other side of the centre of enlargement from the original."
1500,"When calculating a scale factor, thinks the division is the other way around.",Understanding Scale Factors for Area Changes,Geometry,6,"0.5, 1.5, 3",A rectangle has its length tripled and its width doubled. By what scale factor has the area of the rectangle increased?,"When calculating a scale factor for area changes, thinks the division is the other way around or simply adds the scale factors instead of multiplying them."
1501,Multiplied the base numbers,Applying the order of operations with exponents,Exponents and Multiplication,72,36,What is the value of \( (2^3) \times (3^2) \)?,Multiplied the base numbers
1502,"When calculating the group width of a group from a grouped frequency table, believes this is found by midpoint multiplied by frequency",Understanding Group Width Calculation in Grouped Frequency Tables,Statistics,10,250,"In a grouped frequency table, if one of the groups is from 20 to 30 with a frequency of 10, what is the correct method to find the group width for this interval?","When calculating the group width of a group from a grouped frequency table, believes this is found by midpoint multiplied by frequency."
1503,"When drawing a histogram, thinks you plot group midpoint on the horizontal axis",Understanding histogram construction and data representation.,Statistics.,"At the beginning of each interval (0, 6, 12, 18).","At the midpoint of each interval (2.5, 8.5, 14.5, 20.5).","A student collected data on the number of books read by their classmates over the summer. The data was grouped into intervals as follows: 0-5 books, 6-11 books, 12-17 books, and 18-23 books. If they were to create a histogram for this data, where should they plot the points on the horizontal axis?","When drawing a histogram, thinks you plot group midpoint on the horizontal axis."
1504,"When multiplying surds, adds the numbers under the roots",Multiplication of Surds,Algebra - Surds,4,\(\sqrt{10}\),What is the result of \(\sqrt{8} \times \sqrt{2}\)?,"When multiplying surds, adds the numbers under the roots"
1506,Believes transforming some terms in simultaneous equations is sufficient,Understanding of Dependent and Inconsistent Systems,Algebra - Systems of Linear Equations,The system has infinitely many solutions because the equations are dependent.,The system has no solution because the equations are inconsistent.,"If the system of equations \(3x + 2y = 10\) and \(6x + 4y = 20\) is given, which of the following statements is true?",Believes transforming some terms in simultaneous equations is sufficient to find a unique solution.
1512,"When sketching graphs of factorised quadratics, does not see that the negative of the non variable terms in the brackets give the x intercepts or the roots of the graph.",Understanding x-intercepts from factored form of quadratic equations.,Algebra and Graph Theory,"\((-3, 0)\) and \((5, 0)\)","\((3, 0)\) and \((-5, 0)\)",Consider the quadratic equation \(y = (x + 3)(x - 5)\). What are the x-intercepts of its graph?,"When sketching graphs of factorised quadratics, does not see that the negative of the non-variable terms in the brackets give the x-intercepts or the roots of the graph."
1515,"When asked to take off a fraction of an amount, subtracts the fraction itself",Applying fractions to adjust recipe quantities,Fractions and Proportions,1 cup,1.5 cups,"If a recipe calls for 2 cups of sugar but you only want to make half of the recipe, how much sugar should you use?","When asked to take off a fraction of an amount, subtracts the fraction itself"
1518,Mixes up smallest and largest when ordering decimals,Comparing Decimals,Decimal Numbers,D) 0.91,C) 0.63,Which of the following decimals is the largest?,Mixes up smallest and largest when ordering decimals
1521,"Thinks that scale factors, other than one, can leave the dimensions of shapes unchanged",Understanding Scale Factors in Two-Dimensional Shapes,Geometry,The length and width of the rectangle will both double.,The length and width of the rectangle will remain unchanged.,"If a rectangle's length and width are both multiplied by a scale factor of 2, which statement is true about the new dimensions of the rectangle?","Thinks that scale factors, other than one, can leave the dimensions of shapes unchanged."
1524,Believes adding b to any integer gives a multiple of b,Addition of Whole Numbers,Arithmetic Operations,17,15,What is the result when you add 5 to the number 12?,Believes adding b to any integer gives a multiple of b
1531,Believes you plot frequency rather than cumulative frequency on a cumulative frequency diagram,Understanding the Difference Between Frequency and Cumulative Frequency Graphs,Statistics,Histogram,Cumulative Frequency Graph,"A student has collected data on the heights of 30 students in her class and wants to present this data using a graph. If she mistakenly plots the frequency instead of cumulative frequency on the y-axis of what should be a cumulative frequency diagram, which type of graph might she end up creating?",Believes you plot frequency rather than cumulative frequency on a cumulative frequency diagram
1534,Thinks that doubling and then doubling again is not the same as multiplying by 4,Understanding of Sequential Doubling and its Equivalence to Multiplication by Four.,Arithmetic Operations.,Multiplied it by 4.,"Doubled it twice, which is different from multiplying by 4.","If you double a number and then double it again, what operation have you essentially performed on the original number?",Thinks that doubling and then doubling again is not the same as multiplying by 4.
1536,Divides length of original by length of image rather finding length of image divided by length of original to find an enlargement scale factor.,Applying Scale Factors in Real-life Situations,Ratio and Proportions,15 miles,1.67 inches,"A map has a scale where 1 inch represents 5 miles in real life. If the distance between two cities on the map is measured to be 3 inches, what is the actual distance between the two cities?",Divides length of original by length of image rather finding length of image divided by length of original to find an enlargement scale factor.
1538,Does not take into account the whole amount when using a bar model to find a fraction,Understanding Fractional Parts and Whole Relationships,Fractions and Bar Models,3/8 cup,1/2 cup,"A recipe calls for 3/4 cup of sugar. If Lucy uses a bar model to find how much sugar is needed for half of the recipe, what amount of sugar should she use?",Does not take into account the whole amount when using a bar model to find a fraction
1544,Thinks a variable next to a number means write the digits together,Understanding multiplication notation in algebraic expressions,Algebra,12xy,3x4y (writing the digits together),Simplify the expression: 3x4y.,Thinks a variable next to a number means write the digits together
1545,Believes you find the surface area of a prism by finding the total area of the unique faces,Surface Area of Prisms.,Geometry.,152 square centimeters.,96 square centimeters.,"What is the surface area of a rectangular prism with length 8 cm, width 4 cm, and height 3 cm?",Believes you find the surface area of a prism by finding the total area of the unique faces.
1546,Believes the horizontal axis on a cumulative frequency diagram is labelled upper bound,Understanding the axes of a cumulative frequency graph.,Statistics,The upper bound of the highest class interval.,The upper bound of all the class intervals combined.,"In a cumulative frequency diagram, if the last point plotted is at (50, 100), what does the horizontal coordinate 50 represent?",Believes the horizontal axis on a cumulative frequency diagram is labelled upper bound.
1548,Thinks that a unit fraction can be simplified further,Understanding of Unit Fractions and Simplification,Fractions,1/7,"2/14, 4/8, 3/9",Which of the following fractions cannot be simplified any further because it is already a unit fraction?,Thinks that a unit fraction can be simplified further
1551,Does the reciprocal of both fractions when dividing fractions,Division of Fractions by Inverting and Multiplying,Arithmetic Operations with Fractions,\( \frac{15}{8} \),\( \frac{8}{15} \),What is the result of \( \frac{3}{4} \div \frac{2}{5} \)?,Does the reciprocal of both fractions when dividing fractions
1553,Thinks that we can use O as zero for place value in Roman numerals,Understanding of zero concept in Roman numeral system,Number System - Roman Numerals,MV,OVM,What is the Roman numeral equivalent of the number 1005?,Thinks that we can use O as zero for place value in Roman numerals
1555,Believes that we cannot calculate the median of a dataset that contains negative numbers,Median Calculation Including Negative Numbers,Statistics,0,Cannot be determined because the dataset contains negative numbers.,"What is the median of the dataset {-3, 2, -1, 0, 4}?",Believes that we cannot calculate the median of a dataset that contains negative numbers.
1561,Believes the mean is total frequency divided by something,Understanding the Calculation of Mean,Statistics,"10 (This is calculated by dividing the total points by the number of students, which is the correct method to find the mean)","0.02 (This is calculated by dividing the number of students by the total points, which is based on the given misconception)","A class took a test, and the total scores were 500 points out of 50 students. If someone believes that the mean score can be found by dividing the total number of students by the total points scored, what would they calculate as the mean?",Believes the mean is total frequency divided by something
1562,"When substituting into an algebraic term, believes they can disregard the coefficient",Combining Like Terms with Coefficients,Algebra,\(2x + 5\),\(5\),Simplify the expression \(4x - 2x + 5\).,"When substituting into an algebraic term, believes they can disregard the coefficient"
1564,Does not recognise time as a variable from a worded scenario,Average Speed Calculation,Algebra,60 mph,"240 mph, 5 mph, 9 mph","A train leaves the station at 9:00 AM and arrives at its destination at 1:00 PM on the same day. If the total distance traveled by the train is 240 miles, what is the average speed of the train in miles per hour?",Does not recognise time as a variable from a worded scenario
1565,Miscounts the area of a shape when there are half squares,Area calculation including partial squares,Geometry,8 units squared,9 units squared,What is the area of the following figure if each square has a side length of 1 unit?,Miscounts the area of a shape when there are half squares
1567,Does not recognise suitable statistical diagrams for comparing results over time,Choosing appropriate graphical representation for time series data,Statistics,Line graph,"Pie chart, Bar graph, Histogram",Which type of statistical diagram is most suitable for comparing the population growth of a city over several decades?,Does not recognize suitable statistical diagrams for comparing results over time
1569,Uses term-to-term rule as numerical part of nth term rule,Understanding the difference between term-to-term rule and position-to-term rule in sequences,Sequences and Series,2n + 1,3 + (n-1) * 2,"Find the nth term rule for the sequence 3, 5, 7, 9, ...",Uses term-to-term rule as numerical part of nth term rule
1571,When writing standard form does not give the correct power of ten,Understanding the correct placement of the decimal point and the corresponding power of ten in standard form.,Scientific Notation,3.45 × 10^5,"34.5 × 10^4, 0.345 × 10^6, 345 × 10^3","What is the standard form of the number 345,000?",When writing standard form does not give the correct power of ten
1573,When scaling the perimeter multiplies the number of sides by the scale factor,Scaling Perimeters,Geometry,60 units,23 units,"If a square has a perimeter of 20 units and it is scaled up by a factor of 3, what is the new perimeter?",When scaling the perimeter multiplies the number of sides by the scale factor.
1574,Struggles to visualise 2D triangles in a cuboid,Pythagorean theorem in three-dimensional shapes,Geometry,4 units,"5 units, 3 units, 1 unit","In a rectangular prism (cuboid), one face has a diagonal that measures 5 units. If the length of this face is 3 units, what is the width of this face?",Struggles to visualize 2D triangles in a cuboid
1576,Divides rather than multiplies in a related calculation questions,Area of Rectangles,Geometry,192 units²,64 units²,"If a rectangle has a length of 8 units and a width that is 3 times its length, what is the area of the rectangle?",Divides rather than multiplies in a related calculation questions
1578,"When dividing a fraction by an integer, subtracts the integer from the denominator",Dividing fractions by whole numbers,Fractions,\(\frac{3}{8}\),\(\frac{3}{2}\),"If you have \(\frac{3}{4}\) divided by \(2\), what is the result?","When dividing a fraction by an integer, one might subtract the integer from the denominator."
1579,Does not realise that in standard form the decimal we use must be between 1 and 10,Understanding Standard Form with Proper Decimal Placement,Scientific Notation,\(4.5 \times 10^{-3}\),\(0.45 \times 10^{-2}\),Convert the number 0.0045 to standard form.,Does not realise that in standard form the decimal we use must be between 1 and 10
1580,"When drawing a cumulative frequency diagram, thinks you plot the frequency on the horizontal axis",Understanding how to read and interpret cumulative frequency diagrams.,Statistics,The height at which the cumulative frequency reaches half the total number of students.,The height where the frequency count is at its maximum.,"A student collected data on the heights of students in her school and drew a cumulative frequency diagram. According to the diagram, what is the median height of the students? ","When drawing a cumulative frequency diagram, one might think to plot the frequency on the horizontal axis."
1581,Thinks that two side views are interchangeable,Understanding the uniqueness of 3D shape projections.,Geometry,"A cylinder and a cube, when viewed from a specific angle where the cylinder's height matches the cube's side length, both can appear as rectangles.","A sphere and a cone, because from a side view, they can both look like circles.","When looking at two different 3D shapes from the side, Lisa thinks that if the side view looks the same for both shapes, then the shapes must be identical. Which of the following pairs of 3D shapes could mislead Lisa due to her misconception?",Thinks that two side views are interchangeable.
1587,when reading a dash on a number line counts 1 dash too few when working out the divisions,Counting Intervals on a Number Line,Number Line Divisions,11,10,"On a number line from 0 to 20, if each division represents 2 units, how many total divisions are there including the start and end points?",when reading a dash on a number line counts 1 dash too few when working out the divisions
1589,Thinks the division sign means to subtract,Understanding Division as Equal Grouping,Arithmetic Operations,4,9,"If Sarah has 12 apples and she divides them equally into 3 baskets, how many apples will be in each basket?",Thinks the division sign means to subtract
1592,Thinks the number of items give the number of different possible arrangements rather than using the product rule for counting,Permutations with selection,Combinatorics,60,5,How many different ways can you arrange 3 books on a shelf if you have 5 different books to choose from?,Thinks the number of items give the number of different possible arrangements rather than using the product rule for counting
1594,Believes the proportion for a pie chart sector is equal to the frequency,Understanding proportions in pie charts.,Statistics.,180 degrees.,20 degrees.,"In a class of 40 students, 20 students like chocolate ice cream, 10 like strawberry, and 10 like vanilla. If this information is represented as a pie chart, how many degrees does the sector representing chocolate ice cream take up?",Believes the proportion for a pie chart sector is equal to the frequency.
1596,Has found the total as a percentage of the amount being asked,Applying Percentage Discounts to Original Prices,Percentage Discount,$60,$20,"If a shirt originally costs $80 and is on sale for 25% off, what is the sale price of the shirt?",Has found the total as a percentage of the amount being asked (thinking the discount is the final price instead of applying it to the original price).
1603,Confuses displacement-time graphs with velocity-time graphs,Understanding graphical representation of motion in one dimension,Physics - Kinematics,Uniform velocity,Increasing velocity,"On a displacement-time graph, a straight line segment sloping upwards indicates what kind of motion?",Confuses displacement-time graphs with velocity-time graphs
1607,Believes the gradient of perpendicular lines just have opposite signs,Slopes of Perpendicular Lines,Coordinate Geometry,2,\(\frac{1}{2}\),What is the slope of the line that is perpendicular to the line with the equation \(y = -\frac{1}{2}x + 3\)?,Believes the gradient of perpendicular lines just have opposite signs.
1609,Believes the decimal point button writes a fraction,Understanding Calculator Functions and Decimal Point Usage,Arithmetic Operations,"1, ÷, 2, =","1, ., 2, =","If you want to divide 1 by 2 on a calculator, which sequence of buttons should you press?",Believes the decimal point button writes a fraction
1612,Confuses the shaded and unshaded regions on an inequality diagram,Identifying Solution Sets in Linear Inequality Graphs,Algebraic Inequalities,The shaded region below the line \(x + y = 4\).,The unshaded region above the line \(x + y = 4\).,Consider the inequality \(x + y \leq 4\). A diagram is shown where the area below the line \(x + y = 4\) is shaded. Which region represents the solution set for the inequality?,Confuses the shaded and unshaded regions on an inequality diagram.
1613,Believes constructing a triangle with given SAS requires a compass,Triangle Construction - SAS (Side-Angle-Side),Geometry,Compass,Protractor,"A student wants to construct a triangle with sides 5 cm, 7 cm, and the included angle of 60 degrees. Which tool is essential for this construction besides a ruler?",Believes constructing a triangle with given SAS requires a protractor instead of a compass.
1615,Does not know the symbol for proportionality ,Understanding Proportionality Symbols,Algebra,∝ (the proportionality symbol),= (the equality symbol),Which symbol correctly represents that two quantities are proportional?,Does not know the symbol for proportionality
1617,Believes a reciprocal equation will have a linear graph,Understanding of Linear vs. Reciprocal Functions,Algebra,y = 2x + 3,y = 1/x,"Which of the following equations, when graphed, will show a straight line?",Believes a reciprocal equation will have a linear graph
1620,Believes zero cannot be raised to a power,Understanding of Exponents,Algebra,0,Undefined,What is \(0^4\)?,Believes zero cannot be raised to a power
1625,Uses difference as index instead of coefficient in nth term rule,nth Term Rule for Arithmetic Sequences,Arithmetic Sequences,19,27,"Find the 5th term of the arithmetic sequence where the first term is 3 and the common difference is 4. According to the nth term rule \(a_n = a_1 + (n-1)d\), what is the value of the 5th term?",Uses difference as index instead of coefficient in nth term rule
1627,Believes ratios can be combined without equalizing common terms,Combining Ratios Correctly,Ratio and Proportions,5:9,6:9,"If two recipes require ingredients in the ratios of 3:4 and 2:5 for flour to sugar respectively, what is the combined ratio of flour to sugar if both recipes are made together in equal quantities?",Believes ratios can be combined without equalizing common terms
1629,writes the remainder as the divisor divided by 10,Understanding the concept of remainders in division.,Division with Remainders.,The first student is correct because the remainder when dividing 43 by 6 is indeed 3.,"The second student is correct because the remainder is the divisor (6) divided by 10, which is 0.6.","When dividing 43 by 6, a student claims the remainder is 3 because it’s what’s left over after dividing, but another student says the remainder is actually 0.6. Which student is correct?",Writes the remainder as the divisor divided by 10.
1634,"When performing mental multiplication, multiplies accurately by a multiple of 10 but then does not know how to adjust their answer ",Multiplication by multiples of ten,Arithmetic,680,540,Calculate \( 34 \times 20 \).,"When performing mental multiplication, multiplies accurately by a multiple of 10 but then does not know how to adjust their answer."
1638,Counts repeated factors as two separate factors,Identifying Unique Factors of a Number,Number Theory,6,8,How many distinct factors does the number 12 have?,Counts repeated factors as two separate factors
1642,"When adding roots, adds the numbers under the roots",Adding square roots with common radicands.,Algebra,\( 3\sqrt{2} \),\( \sqrt{10} \),Simplify the expression \( \sqrt{2} + \sqrt{8} \).,"When adding roots, adds the numbers under the roots."
1643,"Believes that when increasing by a percentage over 100, they do not need to add an extra 1 to the decimal multiplier for the original amount",Applying decimal multipliers for percentage increase over 100%,Percentages and Ratios,2.2,1.2,"If the price of a stock increases by 120%, what is the decimal multiplier for the original price to find the new price?","Believes that when increasing by a percentage over 100, they do not need to add an extra 1 to the decimal multiplier for the original amount"
